Series ID,Year,Period,Label,Value
APU0000711211,2020,M01,2020 Jan,0.570
APU0000711211,2020,M02,2020 Feb,0.574
APU0000711211,2020,M03,2020 Mar,0.576
APU0000711211,2020,M04,2020 Apr,0.581
APU0000711211,2020,M05,2020 May,0.589
APU0000711211,2020,M06,2020 Jun,0.588
APU0000711211,2020,M07,2020 Jul,0.580
APU0000711211,2020,M08,2020 Aug,0.576
APU0000711211,2020,M09,2020 Sep,0.574
APU0000711211,2020,M10,2020 Oct,0.577
APU0000711211,2020,M11,2020 Nov,0.578
APU0000711211,2020,M12,2020 Dec,0.572
APU0000711211,2021,M01,2021 Jan,0.597
APU0000711211,2021,M02,2021 Feb,0.590
APU0000711211,2021,M03,2021 Mar,0.594
APU0000711211,2021,M04,2021 Apr,0.604
APU0000711211,2021,M05,2021 May,0.600
APU0000711211,2021,M06,2021 Jun,0.595
APU0000711211,2021,M07,2021 Jul,0.594
APU0000711211,2021,M08,2021 Aug,0.589
APU0000711211,2021,M09,2021 Sep,0.597
APU0000711211,2021,M10,2021 Oct,0.600
APU0000711211,2021,M11,2021 Nov,0.619
APU0000711211,2021,M12,2021 Dec,0.622
APU0000711211,2022,M01,2022 Jan,0.630
APU0000711211,2022,M02,2022 Feb,0.628
APU0000711211,2022,M03,2022 Mar,0.642
APU0000711211,2022,M04,2022 Apr,0.637
APU0000711211,2022,M05,2022 May,0.642
APU0000711211,2022,M06,2022 Jun,0.640
APU0000711211,2022,M07,2022 Jul,0.640
APU0000711211,2022,M08,2022 Aug,0.643
APU0000711211,2022,M09,2022 Sep,0.643
APU0000711211,2022,M10,2022 Oct,0.634
APU0000711211,2022,M11,2022 Nov,0.631
APU0000711211,2022,M12,2022 Dec,0.628
APU0000711211,2023,M01,2023 Jan,0.639
APU0000711211,2023,M02,2023 Feb,0.641
APU0000711211,2023,M03,2023 Mar,0.632
APU0000711211,2023,M04,2023 Apr,0.635
APU0000711211,2023,M05,2023 May,0.628
APU0000711211,2023,M06,2023 Jun,0.625
APU0000711211,2023,M07,2023 Jul,0.631
APU0000711211,2023,M08,2023 Aug,0.631
APU0000711211,2023,M09,2023 Sep,0.625
APU0000711211,2023,M10,2023 Oct,0.626
APU0000711211,2023,M11,2023 Nov,0.627
APU0000711211,2023,M12,2023 Dec,0.625
APU0000711211,2024,M01,2024 Jan,0.617
APU0000711211,2024,M02,2024 Feb,0.625
APU0000711211,2024,M03,2024 Mar,0.629
APU0000711211,2024,M04,2024 Apr,0.626
